流水碼,管制編號,地區,使用日期,申請種類,核准路段
1,1150300116,中西區,2026/04/05 12:00~ 2026/04/06 23:59,廟會宴客,臺南市中西區五妃街238號至西門路一段448號前道路
2,1150300107,中西區,2026/03/27 12:00~ 2026/03/29 22:59,廟會祭拜,臺南市中西區城隍街96-128號
3,1150300102,中西區,2026/04/01 12:00~ 2026/04/02 23:59,廟會宴客,臺南市中西區民族路三段176巷2~20號
4,1150300089,中西區,2026/03/20 07:00~ 2026/03/20 21:59,廟會宴客,臺南市中西區城隍街雙號22~86號
5,1150300086,中西區,2026/04/09 13:00~ 2026/04/09 15:59,其他,臺南市中西區中山路125號前
6,1150300085,中西區,2026/03/29 07:00~ 2026/03/29 18:59,廟會祭拜,臺南市中西區康樂街160號至民權路3段145號前道路
7,1150300084,中西區,2026/03/28 07:00~ 2026/03/28 18:59,廟會祭拜,臺南市中西區康樂街160號至民權路3段145號前道路
8,1150300083,中西區,2026/03/22 07:00~ 2026/03/22 18:59,廟會祭拜,臺南市中西區康樂街160號至民權路3段145號前道路
9,1150300082,中西區,2026/03/21 07:00~ 2026/03/21 18:59,廟會祭拜,臺南市中西區康樂街160號至民權路3段145號前道路
10,1150300078,中西區,2026/04/29 08:00~ 2026/04/29 13:59,其他,臺南市中西區700海安路二段288號
11,1150300077,中西區,2026/04/21 07:00~ 2026/04/21 13:59,其他,臺南市中西區700海安路二段288號
12,1150300074,安南區,2026/03/30 16:00~ 2026/04/02 19:59,其他,臺南市中西區安吉路一段台江文化中心停車格三格，來舉辦捐血活動
13,1150300073,安平區,2026/03/26 16:00~ 2026/03/27 19:59,其他,臺南市中西區永華路二段815號前停車格格位439、441、441-1
14,1150300059,中西區,2026/03/29 07:00~ 2026/03/30 23:59,廟會宴客,臺南市中西區西門路二段60號至86號
15,1150300058,中西區,2026/04/01 07:00~ 2026/04/02 22:59,廟會宴客,臺南市中西區金華路三段77號~大勇街92巷21號
16,1150300057,中西區,2026/04/02 07:00~ 2026/04/02 22:59,廟會祭拜,臺南市中西區南華街8號~12號
17,1150300056,中西區,2026/03/29 07:00~ 2026/03/29 22:59,廟會祭拜,臺南市中西區南華街8號~12號
18,1150300055,中西區,2026/03/20 12:00~ 2026/03/20 23:59,廟會宴客,臺南市中西區民族路三段19號~51號(單向單號)
19,1150300042,中西區,2026/04/02 07:00~ 2026/04/02 13:59,其他,臺南市中西區環河街94號
20,1150300041,中西區,2026/03/26 07:00~ 2026/03/26 18:59,其他,臺南市中西區環河街94號
21,1150300040,中西區,2026/03/24 06:00~ 2026/03/24 17:59,其他,臺南市中西區環河街94號
22,1150300039,中西區,2026/03/19 07:00~ 2026/03/19 14:59,其他,臺南市中西區環河街94號
23,1150300025,中西區,2026/03/29 07:00~ 2026/03/29 19:59,廟會祭拜,臺南市中西區中正路140號至162號及 西門路二段96號至186號及 民生路一段215號至167號
24,1150300024,中西區,2026/03/29 07:00~ 2026/03/29 19:59,廟會祭拜,臺南市中西區西門路二段116巷5號(西門路二段至中正路150巷口)
25,1150300023,中西區,2026/03/28 07:00~ 2026/03/28 19:59,廟會祭拜,臺南市中西區中正路140號至162號及 西門路二段96號至186號及 民生路一段215號至167號
26,1150300022,中西區,2026/03/28 07:00~ 2026/03/28 19:59,廟會祭拜,臺南市中西區西門路二段116巷5號(西門路二段至中正路150巷口)
27,1150300021,中西區,2026/03/22 07:00~ 2026/03/22 19:59,廟會祭拜,臺南市中西區中正路140號至162號及 西門路二段96號至186號及 民生路一段215號至167號
28,1150300020,中西區,2026/03/22 07:00~ 2026/03/22 19:59,廟會祭拜,臺南市中西區西門路二段116巷5號(西門路二段至中正路150巷口)
29,1150300019,中西區,2026/03/21 07:00~ 2026/03/21 19:59,廟會祭拜,臺南市中西區中正路140號至162號及 西門路二段96號至186號及 民生路一段215號至167號
30,1150300018,中西區,2026/03/21 07:00~ 2026/03/21 19:59,廟會祭拜,臺南市中西區西門路二段116巷5號(西門路二段至中正路150巷口)
31,1150300012,中西區,2026/03/29 09:00~ 2026/03/29 12:59,其他,臺南市中西區自南美里活動中心起經府前路經南門路經友愛街經永福路二段回到南美里活動中心止
32,1150300009,中西區,2026/03/28 06:00~ 2026/03/28 23:59,廟會祭拜,臺南市中西區三叉路口為神農街140號至神農街152號，往右延伸連接從民族路三段151巷54號至民族路三段151巷46號，往左延伸連接金華路四段82號至金華路四段78號
33,1150300003,中西區,2026/03/27 18:00~ 2026/03/29 17:59,廟會祭拜,臺南市中西區開山路195號至207號
34,1150200251,中西區,2026/03/21 00:00~ 2026/03/23 23:59,廟會祭拜,臺南市中西區西和路170-172號
35,1150200244,中西區,2026/03/21 06:00~ 2026/03/22 23:59,廟會祭拜,臺南市中西區開山路191號至235號樹林街口北行單行道(含073.075.077等停車格及大埔街38號至20號)
36,1150200208,中西區,2026/03/18 18:00~ 2026/03/20 23:59,廟會祭拜,臺南市中西區開山路191號至235號樹林街口北行單行道(含073.075.077等停車格及大埔街38號至20號)
37,1150200192,中西區,2026/03/20 08:00~ 2026/03/21 00:59,廟會宴客,臺南市中西區三叉路口為神農街140號至神農街152號，往右延伸連接從民族路三段151巷54號至民族路三段151巷46號，往左延伸連接金華路四段82號至金華路四段78號
38,1150200178,中西區,2026/03/19 06:00~ 2026/03/19 23:59,廟會宴客,臺南市中西區民族路二段241號至民族路二段205號
